"","date","hits","keyword","geo","time","gprop","category"
"166",2019-11-24,90,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"167",2019-12-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"168",2019-12-08,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"169",2019-12-15,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"170",2019-12-22,67,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"171",2019-12-29,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"172",2020-01-05,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"173",2020-01-12,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"174",2020-01-19,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"175",2020-01-26,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"176",2020-02-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"177",2020-02-09,57,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"178",2020-02-16,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"179",2020-02-23,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"180",2020-03-01,83,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"181",2020-03-08,27,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"182",2020-03-15,27,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"183",2020-03-22,26,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"184",2020-03-29,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"185",2020-04-05,26,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"186",2020-04-12,26,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"187",2020-04-19,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"188",2020-04-26,52,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"189",2020-05-03,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"190",2020-05-10,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"191",2020-05-17,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"192",2020-05-24,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"193",2020-05-31,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"194",2020-06-07,53,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"195",2020-06-14,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"196",2020-06-21,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"197",2020-06-28,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"198",2020-07-05,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"199",2020-07-12,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"200",2020-07-19,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"201",2020-07-26,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"202",2020-08-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"203",2020-08-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"204",2020-08-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"205",2020-08-23,27,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"206",2020-08-30,55,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"207",2020-09-06,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"208",2020-09-13,54,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"209",2020-09-20,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"210",2020-09-27,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"211",2020-10-04,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"212",2020-10-11,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"213",2020-10-18,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"214",2020-10-25,59,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"215",2020-11-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"216",2020-11-08,57,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"217",2020-11-15,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"218",2020-11-22,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"219",2020-11-29,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"220",2020-12-06,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"221",2020-12-13,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"222",2020-12-20,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"223",2020-12-27,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"224",2021-01-03,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"225",2021-01-10,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"226",2021-01-17,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"227",2021-01-24,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"228",2021-01-31,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"229",2021-02-07,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"230",2021-02-14,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"231",2021-02-21,57,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"232",2021-02-28,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"233",2021-03-07,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"234",2021-03-14,27,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"235",2021-03-21,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"236",2021-03-28,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"237",2021-04-04,57,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"238",2021-04-11,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"239",2021-04-18,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"240",2021-04-25,28,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"241",2021-05-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"242",2021-05-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"243",2021-05-16,59,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"244",2021-05-23,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"245",2021-05-30,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"246",2021-06-06,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"247",2021-06-13,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"248",2021-06-20,29,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"249",2021-06-27,59,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"250",2021-07-04,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"251",2021-07-11,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"252",2021-07-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"253",2021-07-25,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"254",2021-08-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"255",2021-08-08,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"256",2021-08-15,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"257",2021-08-22,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"258",2021-08-29,62,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"259",2021-09-05,65,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"260",2021-09-12,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"261",2016-09-25,36,"BOA running","world","2016-09-21 2021-09-21","web",0
